customerID,latitude,longitude
C772113,39.656182608998165,-120.27004846154956
C314977,39.795087859397384,-116.00640255356002
C802329,41.59610433416616,-117.4224331952999
C029919,34.65112788098501,-120.47853936992516
C945441,37.38030734056919,-121.63498836393367
C639320,39.01087899056858,-122.02747099833051
C805453,37.59804735840259,-117.30663685422412
C468621,40.46002005055108,-116.99639449002991
C995186,39.29737526187523,-123.20949954899193
C776894,38.981124245120306,-122.01869077486559
C968382,40.49504784211932,-117.05942807978656
C801171,35.66317146951823,-121.22251880499559
C359489,34.61730403591709,-120.44924379332215
C654416,39.63988632356285,-120.34471840149794
C174033,37.392732394095376,-121.59824318187981
C289814,33.30758246320574,-114.65026158026419
C531129,41.861682290534766,-114.43821139751881
C464754,38.8662468894651,-123.52705363609591
C954205,37.61655176801726,-121.8510596709426
C567186,41.91759496367378,-114.44268231849185
C080258,41.892958421390865,-114.3861790126993
C765304,37.552506662850064,-117.26936965428776
C714448,35.65014998764497,-121.30945557849668
C521500,41.80603438370489,-124.13443499696177
C748452,37.35948596618113,-121.68649171016202
C532384,38.968288691702796,-118.67277196630843
C958571,38.007392421156105,-121.37896528548612
